source,date,fund,fund_ticker,bbg_ticker,optticker,shares_cust,quantity,category_description,asset_group,price,market_value,cusip,maturity_date
umb,2026-05-14,P2726,P2726,P2726,JPM US 05/15/26 C302.5,-4.0,-4.0,OPTC_EQY,,0.9,-362.0,6CM99WV10,
umb,2026-05-14,P2726,P2726,P2726,KO US 05/15/26 C78,-6.0,-6.0,OPTC_EQY,,2.68,-1611.0,6FX99IG76,
umb,2026-05-14,P2726,P2726,P2726,LIN US 05/15/26 C495,-3.0,-3.0,OPTC_EQY,,17.25,-5175.0,5SD999EV0,
umb,2026-05-14,P2726,P2726,P2726,LLY US 05/15/26 C950,-1.0,-1.0,OPTC_EQY,,57.1,-5710.0,6AI99KNB2,
umb,2026-05-14,P2726,P2726,P2726,LOW US 05/15/26 C230,-1.0,-1.0,OPTC_EQY,,0.3,-30.0,6R799I2A7,
umb,2026-05-14,P2726,P2726,P2726,LRCX US 05/15/26 C295,-2.0,-2.0,OPTC_EQY,,8.57,-1715.0,6SI994EN3,
umb,2026-05-14,P2726,P2726,P2726,MA US 05/15/26 C497.5,-1.0,-1.0,OPTC_EQY,,0.68,-67.5,6QI990NE5,
umb,2026-05-14,P2726,P2726,P2726,MCD US 05/15/26 C275,-2.0,-2.0,OPTC_EQY,,1.36,-271.0,5IY99I2Q3,
umb,2026-05-14,P2726,P2726,P2726,MDLZ US 05/15/26 C62,-2.0,-2.0,OPTC_EQY,,0.25,-50.0,6L899I870,
umb,2026-05-14,P2726,P2726,P2726,MDT US 05/15/26 C76,-3.0,-3.0,OPTC_EQY,,1.06,-318.0,6XT99I384,
umb,2026-05-14,P2726,P2726,P2726,META US 05/15/26 C610,-3.0,-3.0,OPTC_EQY,,10.12,-3037.5,59399TQZ7,
umb,2026-05-14,P2726,P2726,P2726,MMM US 05/15/26 C143,-1.0,-1.0,OPTC_EQY,,2.94,-293.5,66L99IVE7,
umb,2026-05-14,P2726,P2726,P2726,MO US 05/15/26 C68,-3.0,-3.0,OPTC_EQY,,4.42,-1327.5,5XG99IUX4,
umb,2026-05-14,P2726,P2726,P2726,MRK US 05/15/26 C111,-3.0,-3.0,OPTC_EQY,,2.32,-694.5,66M990XW3,
umb,2026-05-14,P2726,P2726,P2726,MS US 05/15/26 C192.5,-2.0,-2.0,OPTC_EQY,,2.68,-536.0,7019942Z7,
umb,2026-05-14,P2726,P2726,P2726,MSFT US 05/15/26 C415,-8.0,-8.0,OPTC_EQY,,0.96,-764.0,6IV992A73,
umb,2026-05-14,P2726,P2726,P2726,MU US 05/15/26 C740,-1.0,-1.0,OPTC_EQY,,41.5,-4150.0,6BI991QV5,
umb,2026-05-14,P2726,P2726,P2726,NEE US 05/15/26 C93,-9.0,-9.0,OPTC_EQY,,2.64,-2376.0,6R099I602,
umb,2026-05-14,P2726,P2726,P2726,NFLX US 05/15/26 C88,-5.0,-5.0,OPTC_EQY,,0.24,-117.5,5IB99M0N8,
umb,2026-05-14,P2726,P2726,P2726,NKE US 05/15/26 C44,-5.0,-5.0,OPTC_EQY,,0.02,-7.5,6SI99K8H7,
umb,2026-05-14,P2726,P2726,P2726,NOW US 05/15/26 C91,-2.0,-2.0,OPTC_EQY,,1.0,-200.0,6SM99IBW0,
umb,2026-05-14,P2726,P2726,P2726,NVDA US 05/15/26 C215,-27.0,-27.0,OPTC_EQY,,20.78,-56092.5,6PI99NJ69,
umb,2026-05-14,P2726,P2726,P2726,ORCL US 05/15/26 C195,-3.0,-3.0,OPTC_EQY,,3.3,-990.0,5IL99M254,
umb,2026-05-14,P2726,P2726,P2726,PEP US 05/15/26 C155,-2.0,-2.0,OPTC_EQY,,0.05,-10.0,6I799T403,
umb,2026-05-14,P2726,P2726,P2726,PFE US 05/15/26 C25.5,-7.0,-7.0,OPTC_EQY,,0.3,-206.5,70199H0Z0,
umb,2026-05-14,P2726,P2726,P2726,PG US 05/15/26 C146,-3.0,-3.0,OPTC_EQY,,0.1,-28.5,6XI9914F6,
umb,2026-05-14,P2726,P2726,P2726,PLTR US 05/15/26 C137,-4.0,-4.0,OPTC_EQY,,0.42,-168.0,6IV996QK8,
umb,2026-05-14,P2726,P2726,P2726,PM US 05/15/26 C170,-2.0,-2.0,OPTC_EQY,,21.65,-4330.0,6I2995707,
umb,2026-05-14,P2726,P2726,P2726,PYPL US 05/15/26 C45.5,-2.0,-2.0,OPTC_EQY,,0.2,-40.0,6IK99JE09,
umb,2026-05-14,P2726,P2726,P2726,QCOM US 05/15/26 C220,-1.0,-1.0,OPTC_EQY,,0.54,-53.5,5HI99M8N5,
umb,2026-05-14,P2726,P2726,P2726,RTX US 05/15/26 C177.5,-3.0,-3.0,OPTC_EQY,,0.72,-217.5,6XI994494,
umb,2026-05-14,P2726,P2726,P2726,SBUX US 05/15/26 C105,-3.0,-3.0,OPTC_EQY,,1.48,-445.5,553999PC1,
umb,2026-05-14,P2726,P2726,P2726,SCHW US 05/15/26 C89,-3.0,-3.0,OPTC_EQY,,0.91,-273.0,606992ZT5,
umb,2026-05-14,P2726,P2726,P2726,SO US 05/15/26 C92,-5.0,-5.0,OPTC_EQY,,1.58,-787.5,6NC99I8A4,
